[2018-Jun-20 15:45], 127.0.0.1, POST, http, /userlogin?, 404 NOT FOUND, admin@gmail.com, Client error
[2018-Jun-20 15:46], 127.0.0.1, POST, http, /api/userlogin?, 200 OK, admin@gmail.com, Successfully logged in as admin@gmail.com
[2018-Jun-20 15:47], 127.0.0.1, POST, http, /register?, 404 NOT FOUND, admin@gmail.com, Client error
[2018-Jun-20 15:47], 127.0.0.1, POST, http, /api/register?, 200 OK, admin@gmail.com, User user3@gmail.com created.
[2018-Jun-20 15:48], 127.0.0.1, POST, http, /api/addrole?, 200 OK, admin@gmail.com, user3@gmail.com is assigned with admin role
[2018-Jun-20 15:49], 127.0.0.1, POST, http, /api/removerole?, 200 OK, admin@gmail.com, user3@gmail.com is removed from admin role
[2018-Jun-20 15:49], 127.0.0.1, POST, http, /api/removerole?, 200 OK, admin@gmail.com, user3@gmail.com is removed from admin role
[2018-Jun-20 15:56], 127.0.0.1, POST, http, /api/createnewrole?, 404 NOT FOUND, admin@gmail.com, Check data input
[2018-Jun-20 15:56], 127.0.0.1, POST, http, /api/createnewrole?, 404 NOT FOUND, admin@gmail.com, Check data input
[2018-Jun-20 15:57], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Get all role
[2018-Jun-20 15:58], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: cat
[2018-Jun-20 16:00], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Role cat exist in database
[2018-Jun-20 16:00], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: cat
[2018-Jun-20 16:00], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: bear
[2018-Jun-20 16:01], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: bear
[2018-Jun-20 16:01], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Role bear exist in database
[2018-Jun-20 16:03], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: bear
[2018-Jun-20 16:04], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: bear
[2018-Jun-20 16:04], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: cat
[2018-Jun-20 16:04], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Role cat exist in database
[2018-Jun-20 16:04], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Role bear exist in database
[2018-Jun-20 16:06], 127.0.0.1, POST, http, /api/createnewrole?, 200 OK, admin@gmail.com, Created new role: bear
